"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-13","9.17",,," 0521","0.00",,,,,"33","8",,,"  330","  330",,,,"21.9","28.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-14","4.47",,," 1328","0.00",,,,,"21","5",,,"  330","  340",,,,"10.1","12.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-15","5.59",,," 0909","0.01",,,,,"28","20",,,"  330","  340",,,,"10.1","13.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-16","11.63",,," 1411","0.01",,,,,"37","12",,,"  310","  280",,,,"31.1","40.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-17","7.38",,," 0602","0.00",,,,,"23","4",,,"  300","  300",,,,"16.1","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-18","5.82",,," 2112","0.35",,,,,"50","19",,,"  140","  140",,,,"23.9","30.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-19","9.40",,," 1302","0.00",,,,,"46","28",,,"  260","  250",,,,"21.0","29.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-20","10.96",,," 0117","0.00",,,,,"37","23",,,"  260","  260",,,,"18.1","25.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-21","3.13",,," 0903","0.00",,,,,"33","13",,,"  350","  330",,,,"10.1","14.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-22","3.58",,," 0957","0.00",,,,,"37","23",,,"  290","  350",,,,"8.1","11.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-23","6.26",,," 1424","0.00",,,,,"35","16",,,"  270","  260",,,,"15.0","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-24","7.16",,," 1838","0.63",,,,,"32","28",,,"  330","  330",,,,"15.0","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-25","10.07",,," 1140","0.00",,,,,"37","16",,,"  290","  290",,,,"21.0","29.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-26","10.74",,," 2316","0.01",,,,,"21","7",,,"   10","   10",,,,"25.1","33.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-27","17.45",,," 0606","0.07",,,,,"18","12",,,"   40","   80",,,,"28.0","78.1",,,,,,,,,
